Id_client,Nume,Prenume,Gen,Oras,Adresa_mail
1,Tataru,Olivia,F,Boston,tataruolivia@yahoo.com
2,Anghel, Eduard,M,Los Angeles,angheleduard@gmail.com
3,Lupu,Alexandru,M,New York,lupualexandr@yahoo.com
4,Blaga,Georgiana,F,San Diego,blagageorgiana@yahoo.com
5,Bondrea,Lacramioara,F,Detroit,bondrealacramioara@yahoo.com
6,Vlad,Maria,F,Atlanta,vladmaria@outlook.com
7,Lee,John,M,Portland,leejohn@yahoo.com
8,Brailescu,Ovidiu,M,Dallas,brailescuovidiu@yahoo.com
9,Totolici,Cristina,F,New Orleans,totolicicristina@yahoo.com
10,Lavric,Georgiana,F,Miami,lavricgeorgiana@gmail.com
